iter	RMSE
262	0.09889817512
263	0.09886500082
264	0.09875715374
265	0.09860573624
266	0.09841378216
267	0.09834382216
268	0.09830372256
269	0.09825408486
270	0.09813885993
271	0.09807133167
272	0.09788579684
273	0.09763708342
274	0.09739432505
275	0.09724868229
276	0.09713887571
277	0.09693525072
278	0.09673388131
279	0.09647088903
280	0.09642562462
281	0.0962961398
282	0.09590150246
283	0.09562591286
284	0.09559623124
285	0.09543651262
286	0.09529225436
287	0.09515346465
288	0.09490279189
289	0.09473850092
290	0.09461259614
291	0.0945521956
292	0.09446752425
293	0.09426552609
294	0.09425626586
295	0.09416202662
296	0.09410834783
297	0.09394424327
298	0.09391863781
299	0.09387321651
300	0.0936822759
301	0.09354336947
302	0.09325586931
303	0.09321565123
304	0.09297222088
305	0.09281659198
306	0.09273571405
307	0.09248920967
308	0.09247023388
309	0.09228138669
310	0.09208413588
311	0.09203024077
312	0.0918997111
313	0.09187341128
314	0.09161403232
315	0.09152073385
316	0.09124666415
317	0.09122238306
318	0.09096243947
319	0.09077330352
320	0.09065386427
321	0.09051354318
322	0.09048302552
323	0.09046179534
324	0.09043938354
325	0.09013273738
326	0.08998573511
327	0.08979021156
328	0.08943559582
329	0.08941096918
330	0.08917932383
331	0.08900160016
332	0.08896440085
333	0.08867819493
334	0.08861340961
335	0.08842185176
336	0.08823879581
337	0.08821425585
338	0.0881742504
339	0.08799206555
340	0.08784637978
341	0.0876955375
342	0.08753316728
343	0.08749031752
344	0.08747152432
345	0.08717949429
346	0.08705426019
347	0.08690218652
348	0.08673519354
349	0.0867188165
350	0.08665384283
351	0.08654748572
352	0.08642766455
353	0.08639941506
354	0.08638108957
355	0.08615942848
356	0.08611744285
357	0.08599522275
358	0.08585683497
359	0.08570165305
360	0.08557935452
361	0.08547300253
362	0.08538516972
363	0.08513296874
364	0.08479986482
365	0.08469554706
366	0.08468009903
367	0.08466373584
368	0.08462647308
369	0.08452287782
370	0.08437491642
371	0.08436184347
372	0.08420577421
373	0.08410983614
374	0.08394754188
375	0.08386227853
376	0.08382768388
377	0.08377534992
378	0.08366839958
379	0.0835791488
380	0.08327516444
381	0.08323558535
382	0.0830162706
383	0.08293283684
384	0.08289027024
385	0.08268074215
386	0.08235994009
387	0.08233771942
388	0.08220133293
389	0.08209243794
390	0.08195193976
391	0.08190049237
392	0.08172652545
393	0.081591617
394	0.08141698676
395	0.08116598702
396	0.08110677635
397	0.08109838148
398	0.08092018078
399	0.0806104335
400	0.08049796816
401	0.08043468553
402	0.08020220235
403	0.0799813579
404	0.07988255501
405	0.07966521621
406	0.07964326652
407	0.07945749206
408	0.07937748307
409	0.07934100943
410	0.07917429096
411	0.0790507146
412	0.07897472341
413	0.07883093437
414	0.07870416026
415	0.07864722526
416	0.07862042594
417	0.07846328304
418	0.07836701641
419	0.07822582011
420	0.07810380678
421	0.07809056371
422	0.07794428978
423	0.07780630026
424	0.077643014
425	0.07755719758
426	0.07753918669
427	0.07747394132
428	0.07736144576
429	0.07730431708
430	0.07717582913
431	0.07712441051
432	0.07701250884
433	0.0770005611
434	0.07686679596
435	0.07672159861
436	0.0766991501
437	0.07665751759
438	0.0765346674
439	0.07647497218
440	0.07646724341
441	0.07634663945
442	0.07619910143
443	0.07617188279
444	0.07604365466
445	0.07591483251
446	0.07580205997
447	0.0756696979
448	0.07550625697
449	0.07524173915
450	0.07520520665
451	0.07519459455
452	0.07516959271
453	0.07509421771
454	0.07490632847
455	0.07479541811
456	0.07467767792
457	0.07454571749
458	0.07448261875
459	0.07436486026
460	0.07434852467
461	0.0741913021
462	0.07399921478
463	0.07387753705
464	0.07374816254
465	0.07362961058
466	0.07343083647
467	0.07342219911
468	0.07334135893
469	0.07324741966
470	0.07308263511
471	0.07293293845
472	0.07285294813
473	0.07280677264
474	0.07270156727
475	0.0725146041
476	0.07250590759
477	0.07244179541
478	0.07232575437
479	0.07223424827
480	0.07221326759
481	0.07194672546
482	0.07187788404
483	0.07177695701
484	0.07165634954
485	0.07148321699
486	0.07137234041
487	0.07128021127
488	0.0712188782
489	0.07120775479
490	0.07110392273
491	0.07105802808
492	0.07093879145
493	0.07089235997
494	0.07067088521
495	0.07063123931
496	0.07055783216
497	0.07049541054
498	0.07036706935
499	0.07031143798
500	0.07027396529
501	0.07005307635
502	0.06989584468
503	0.06985468985
504	0.06977806129
505	0.06965977474
506	0.06942110389
507	0.06935751289
508	0.06915096003
509	0.06910570425
510	0.06886497501
511	0.06872709541
512	0.06866329755
513	0.06862158352
514	0.06857419883
515	0.06835615344
516	0.06820539145
517	0.06807800032
518	0.06794476256
519	0.06784913821
520	0.06776282981
521	0.06766728633
522	0.06754785138
523	0.06735752639
524	0.06733303886
525	0.06725876269
526	0.06722874714
527	0.0670874433
528	0.06707934466
529	0.06707369908
530	0.06688720202
531	0.06685367535
532	0.06664687738
533	0.06656908764
534	0.06650585722
535	0.06643643455
536	0.06642560981
537	0.06632946384
538	0.06625707208
539	0.06615993056
540	0.06605514936
541	0.06593850139
542	0.06592100629
543	0.06585775547
544	0.06581671849
545	0.06575369054
546	0.06574100306
547	0.06561285245
548	0.06551829234
549	0.06545982461
550	0.06534534421
551	0.06530017576
552	0.06521297874
553	0.06517870983
554	0.06506337387
555	0.06496898853
556	0.06492023516
557	0.06479546106
558	0.06467868733
559	0.06460044762
560	0.06452750214
561	0.06448598891
562	0.0643624688
563	0.06421736064
564	0.06403055457
565	0.06391564183
566	0.06388394941
567	0.06378465413
568	0.06373483004
569	0.0637254446
570	0.06371059578
571	0.06358218819
572	0.06346357453
573	0.06342329808
574	0.06333063485
575	0.06312597304
576	0.06297434546
577	0.06295805686
578	0.06282338677
579	0.0625844214
580	0.06247757899
581	0.06237597317
582	0.06225877417
583	0.06222867824
584	0.06220143298
585	0.06205783623
586	0.06192474316
587	0.06187225996
588	0.06179941865
589	0.06171272878
590	0.06149623179
591	0.06139909522
592	0.06125913022
593	0.06116234896
594	0.06106380174
595	0.06097686601
596	0.06094936014
597	0.06086586734
598	0.06073278347
599	0.06062948436
600	0.06057835289
601	0.06040352919
602	0.06038485052
603	0.06024343259
604	0.0602325311
605	0.0602084884
606	0.06017366265
607	0.06016926838
608	0.06008196215
609	0.05995224774
610	0.0598751625
611	0.0598400912
612	0.05976216485
613	0.0596106646
614	0.05943122209
615	0.05927773545
616	0.0592565509
617	0.05920911077
618	0.05916192701
619	0.05910181141
620	0.05900692201
621	0.05891180716
622	0.0588297645
623	0.05874136899
624	0.05862006676
625	0.05851228832
626	0.05841699363
627	0.05836820839
628	0.05825116184
629	0.05819081804
630	0.05803307454
631	0.05790682826
632	0.0577727176
633	0.05774675847
634	0.0576592646
635	0.05755316444
636	0.05747222553
637	0.05730976938
638	0.05722863443
639	0.05712459343
640	0.05698924339
641	0.05688097957
642	0.05679273699
643	0.05665828137
644	0.05658968292
645	0.05657729624
646	0.05651196301
647	0.05637259195
648	0.05632973005
649	0.05626103718
650	0.05620913395
651	0.05613643046
652	0.0560780895
653	0.05596750982
654	0.05594531396
655	0.05594240042
656	0.05589481264
657	0.05582493977
658	0.05576183024
659	0.05569328219
660	0.055610421
661	0.05545159171
662	0.05538328882
663	0.05518630398
664	0.05510125247
665	0.05502765465
666	0.05493659988
667	0.0549242873
668	0.05486925776
669	0.05482250984
670	0.05477854651
671	0.05477307666
672	0.05465693192
673	0.05456585747
674	0.05452162643
675	0.05442033674
676	0.05435745097
677	0.05424813833
678	0.05416383917
679	0.05408604885
680	0.05405753406
681	0.05400703599
682	0.05394679935
683	0.05384699143
684	0.05378485168
685	0.05371849495
686	0.05363025806
687	0.0534969603
688	0.05341698844
689	0.05334770626
690	0.05326665878
691	0.05322420561
692	0.05318495182
693	0.05304309115
694	0.05295749987
695	0.05282103741
696	0.05280033054
697	0.05267315747
698	0.05265299924
699	0.05255167619
